date,close,high,low,open,volume,daily_return,SMA_20,SMA_50
2023-01-03,123.09602355957031,128.8340031338152,122.21022673136561,128.22379338136977,112117500.0,,,
2023-01-04,124.36565399169922,126.62935597280962,123.10585750129947,124.88728777203856,89113600.0,1.0314146593975781,,
2023-01-05,123.04680633544922,125.75340309203497,122.79091532129203,125.12350481122068,80962700.0,-1.0604597120825843,,
2023-01-06,127.57417297363281,128.23359640764676,122.91883185466375,124.02115734074498,87754700.0,3.6793857337841906,,
2023-01-09,128.09584045410156,131.30439758356596,127.83994943275363,128.41079711233908,70790800.0,0.4089130803744734,,
2023-01-10,128.6667022705078,129.18833615231142,126.09789493911427,128.20411901412172,63896200.0,0.44565211046865283,,
2023-01-11,131.3831329345703,131.4028064616691,128.40095662151043,129.1784814447806,69458900.0,2.1112149578151884,,
2023-01-12,131.30438232421875,132.14095769176564,129.36547379890666,131.76696547602162,71379600.0,-0.05993966545978502,,
2023-01-13,132.63307189941406,132.7905502170586,129.58200833933589,129.94616380817476,57809700.0,1.0119156357740522,,
2023-01-17,133.7944793701172,135.12316348796887,132.01304876349633,132.70199775252627,63646600.0,0.875654506127943,,
2023-01-18,133.0759735107422,136.42230495988363,132.8988066595986,134.66056331872014,69672800.0,-0.5370220525970915,,
2023-01-19,133.13507080078125,134.0995994948706,131.65874493478267,131.96384987754826,58280400.0,0.044408685114216695,,
2023-01-20,135.6939697265625,135.84161126203279,132.1015842994744,133.1448517377868,80223600.0,1.9220321966180398,,
2023-01-23,138.88287353515625,141.0579999020067,135.72353008280908,135.94005904305521,81760300.0,2.350070393710002,,
2023-01-24,140.28045654296875,140.90051809732327,138.0856567013407,138.0954934654877,66435100.0,1.0063033491733764,,
2023-01-25,139.62103271484375,140.18202862963406,136.61916767862735,138.6663409653264,65799300.0,-0.4700753364906607,,
2023-01-26,141.68789672851562,141.9733130723702,139.66039693887691,140.91035682918778,54105100.0,1.4803385804294633,,
2023-01-27,143.6267852783203,144.9062704324847,140.82177572822627,140.90051489349364,70555800.0,1.368422140897274,,
2023-01-30,140.7430419921875,143.2527985417942,140.59541543784155,142.6721140707524,64015300.0,-2.007803266322983,,
2023-01-31,142.01268005371094,142.06189391275458,140.0344090710312,140.4477784546675,65874500.0,0.902096504062988,133.63600234985353,
2023-02-01,143.13465881347656,144.29604258311244,139.0895417079852,141.69771052689384,77663600.0,0.7900553382566011,134.63793411254883,
2023-02-02,148.4396209716797,148.79392468833726,145.83143680858885,146.54991104174482,118339000.0,3.706273660187498,135.84163246154785,
2023-02-03,152.06153869628906,154.8960886893848,145.496812581912,145.6936529941079,154357300.0,2.439993918672423,137.29236907958983,
2023-02-06,149.3352508544922,150.6836384438328,148.40024764766747,150.1620046015634,69858300.0,-1.7928845552734107,138.38042297363282,
2023-02-07,152.2091522216797,152.77999988075524,148.2624474794368,148.2624474794368,83322600.0,1.9244628115218099,139.58608856201172,
2023-02-08,149.52227783203125,152.14029923404468,148.78411491914525,151.45135018561032,64120100.0,-1.765251530824663,140.62886734008788,
2023-02-09,148.4888458251953,151.89424398332804,148.04595108381588,151.3529215136586,56007100.0,-0.6911558744422397,141.48415298461913,
2023-02-10,148.85353088378906,149.17882019931434,147.08909918660703,147.32567733632254,57450700.0,0.2455976114347891,142.36161041259766,
2023-02-13,151.65298461914062,152.0571182724141,148.7648180243575,148.79438841262413,62199000.0,1.880676742251497,143.31260604858397,
2023-02-14,151.01226806640625,151.5741355635304,148.7056873791277,149.9476888936107,61707600.0,-0.4224885875760753,144.17349548339843,
2023-02-15,153.11184692382812,153.27941747242824,150.69683660205456,150.92354792770303,65573800.0,1.3903366158957375,145.17528915405273,
2023-02-16,151.51498413085938,154.09756497312395,151.16012443154224,151.3178281549916,68167900.0,-1.042938756896572,146.09428482055665,
2023-02-17,150.3715362548828,150.8151070910907,148.69581585093724,150.17439533222245,59144100.0,-0.7546764318629995,146.82816314697266,
2023-02-21,146.35968017578125,149.1394173925265,146.29068760704538,148.05511953332274,58867200.0,-2.667962420960701,147.2020034790039,
2023-02-22,146.78353881835938,147.8086807909047,145.0585291708209,146.74410160351695,51011300.0,0.28960068925338867,147.52715759277345,
2023-02-23,147.26654052734375,148.19311959888688,145.13739706863274,147.946689634791,48394200.0,0.3290571360199168,147.90943298339843,
2023-02-24,144.6149444580078,145.0880857046954,143.6390765358812,145.0092263234326,55469600.0,-1.8005421053831294,148.05578536987304,
2023-02-27,145.8076629638672,147.039812645864,145.34437348016522,145.60067024018994,44998500.0,0.8247546685644869,148.1648292541504,
2023-02-28,145.3049774169922,146.95112788301643,144.73325805691135,144.95011764317968,50547000.0,-0.3447593471130328,148.39292602539064,
2023-03-01,143.23492431640625,145.12750429739225,142.9392054041828,144.73322244168676,55479000.0,-1.4246264218777283,148.45403823852538,
2023-03-02,143.8263702392578,144.61494903595985,141.84506394442167,142.31822024697658,52238100.0,0.41292019085028553,148.48862380981444,
2023-03-03,148.87326049804688,148.9521198871165,145.22610023869615,145.9259528752422,70732300.0,3.5090159408135424,148.51030578613282,
2023-03-06,151.63328552246094,154.0680147422593,151.26857399298945,151.59384830577196,87558000.0,1.8539427531717667,148.4888931274414,
2023-03-07,149.4351043701172,151.83039589059405,148.9718149331636,151.50510660246357,56182000.0,-1.4496692759573215,148.49388580322267,
2023-03-08,150.6869659423828,151.27840377958802,149.6618240709013,150.6278251668401,47204800.0,0.8377292454422536,148.41777648925782,
2023-03-09,148.43954467773438,152.33313497413033,148.08468493947933,151.3671337581158,53833600.0,-1.4914503391804779,148.36363983154297,
2023-03-10,146.37937927246094,148.78453780981002,145.5020893181875,148.06496662146847,68572400.0,-1.387881786990186,148.25816650390624,
2023-03-13,148.32125854492188,150.9531285889032,145.59081050522525,145.69924028415588,84457100.0,1.3266071232932664,148.2315528869629,
2023-03-14,150.41098022460938,151.209410853691,147.95654755608294,149.11968969699433,73695900.0,1.4089158224440235,148.16945266723633,
2023-03-15,150.80531311035156,151.0615949039496,147.77914539248343,149.03101404457334,77167900.0,0.2621702784951774,148.1591049194336,142.61224548339842
2023-03-16,153.62440490722656,154.22569446185167,149.4745187940127,149.98709719489494,76161100.0,1.8693584057029478,148.18473281860352,143.22281311035155
2023-03-17,152.78656005859375,154.50171782493953,152.07684064085686,153.8511391851991,98944600.0,-0.5453852525181713,148.24831161499023,143.79123123168947
2023-03-20,155.1522979736328,155.56631354554972,151.94870846939224,152.85558396503848,73641400.0,1.5483939910236888,148.48734970092772,144.43334106445312
2023-03-21,157.00546264648438,157.1237442200261,154.3045847371103,155.0734600878072,73938300.0,1.1944165165806986,149.0196388244629,145.02196685791014
2023-03-22,155.57615661621094,159.82460651427928,155.5564380089166,157.0251659140942,75701800.0,-0.9103543317417473,149.45926971435546,145.57157318115233
2023-03-23,156.6604461669922,159.24304236266408,155.428296373163,156.56188320802048,67622100.0,0.6969509816700636,149.9289649963379,146.13144805908203
2023-03-24,157.9615936279297,158.0503047976887,155.59587218901564,156.5914437450547,59196500.0,0.8305526332732072,150.59629745483397,146.66301727294922
2023-03-27,156.01971435546875,158.47416184588545,155.61556566491817,157.6560126824132,52390300.0,-1.2293363392084644,151.10690002441407,147.15732391357423
2023-03-28,155.3987274169922,156.226743517172,153.7525770821358,155.71416498675424,45992200.0,-0.3980182511177599,151.61158752441406,147.61263702392577
2023-03-29,158.47418212890625,158.75018247951246,157.07446176772007,157.09416533498404,51305700.0,1.9790732929630073,152.37355041503906,148.10623107910158
2023-03-30,160.04147338867188,160.14990317241256,158.96704237580855,159.22332411879057,49501700.0,0.9889883883361872,153.18430557250977,148.64554107666015
2023-03-31,162.54518127441406,162.64375926608275,159.59788883873148,160.120319104618,68749800.0,1.5644119194414996,153.86790161132814,149.2337432861328
2023-04-03,163.7970428466797,163.91532439911353,161.87489241518372,161.92418140899423,56976200.0,0.7701622173297062,154.47608947753906,149.79580474853515
2023-04-04,163.26475524902344,164.45746763773894,162.75217680448466,164.22090454094308,46278300.0,-0.3249677701168796,155.16757202148438,150.2834423828125
2023-04-05,161.4214630126953,162.69304993016723,159.48946069965245,162.38747921010668,51511700.0,-1.1290203041780855,155.704296875,150.70626251220702
2023-04-06,162.30865478515625,162.6043737860022,159.68663604035822,160.11048841021935,45390100.0,0.5496120255031878,156.3977523803711,151.16001495361328
